dataset,subset,template,uuid,reference,\cite ref
anli,,GPT-3 style,620aa3fc-d5eb-46f5-a1ee-4c754527aa97,"Same as reported in Figure G7 of the GPT-3 paper, except that there is no task identifying tokens like ""anli R1: "".",gpt3
anli,,based on the previous passage,9b613182-c6ab-4427-9221-3d68f6d62765,Adapted from the BoolQ prompts in Schick & Schütze 2021.,schick-schutze-2021-just
anli,,should assume,179eb863-3ece-4e6f-af0f-fcb46d997306,Webson & Pavlick 2021,webson-pavlick-2021
anli,,justified in saying,a850110d-f1a3-49b4-949a-d3bfe9f81344,Webson & Pavlick 2021,webson-pavlick-2021
anli,,can we infer,c4ed37ae-d7d7-4197-a725-ef2152fa3b1f,Webson & Pavlick 2021,webson-pavlick-2021
anli,,guaranteed true,ffa0a6f0-7186-4ccb-bb35-8b1affb747a0,Webson & Pavlick 2021,webson-pavlick-2021
anli,,MNLI crowdsource,0cc3ae39-3997-4686-8c93-5d51457efa1f,Adapted from Williams et al. 2018's instructions to crowdsourcing workers.,N18-1101
anli,,take the following as truth,bab86d5a-4f9c-40db-b619-a7b7d5cae681,Bers et al.,webson-pavlick-2021
anli,,guaranteed/possible/impossible,ca24b93a-6265-462f-b140-e329c03d94fa,Bers et al.,webson-pavlick-2021
anli,,always/sometimes/never,dbc68425-5c42-43ae-9748-70ce8c5a167e,Bers et al.,webson-pavlick-2021
anli,,consider always/sometimes/never,e6f32b9c-7e0b-474a-a0d2-e84d20c22aba,Bers et al.,webson-pavlick-2021
anli,,claim true/false/inconclusive,ec249357-e672-4e7d-b8b6-d97ed7d090c5,Bers et al.,webson-pavlick-2021
boolq,,Boolq GPT3,c746b16d-212d-4f1f-9988-9fee99584f25,Take from GPT3 - Figure G29,gpt3
drop,,DROP GPT3,ab58cc42-a558-4709-8a73-30194fcf9fa2,Prompt format from GPT3 - Table G20,gpt3
gigaword,,TLDR,90c34acf-2f42-4e66-98dc-7453f7e60e60,GPT-2 TLDR,radford2019language
hans,,GPT-3 style,e86994a7-2649-4535-acce-57e5aed8d390,Same as reported in Figure G31 of the GPT-3 paper.,gpt3
